"","id.new","date.col","RM","features","Provenance","NEW.TLS","WT","vat.cum","year","Wr","hatch","Sr","Ba","Mn","P","Cu","Mg"
"81","MSC55",2014-01-11,17.22,"Marble C.",NA,413.4351,728,27,"2014",NA,2011,0.708996857362912,0.0637389214320715,0.00374655862584349,110664.086669416,0.00212463071440238,0.0539694141292391
"82","ASP11",2021-10-27,NA,"Bright Angel Above Barrier","Bright Angel",305,328,0,"2021",106.990771514712,2019,0.361555771695906,0.0533483812488653,0.00311744038221713,37331.2372404124,0.00193244338578349,0.0373003538712842
"83","BAC01",2021-11-21,NA,"Bright Angel Upper","Bright Angel",132,15,0,"2021",58.3703668344783,2021,0.537074731441345,0.112707997455343,0.00319697560874024,59972.645182992,0.00126453307232096,0.0397268657301092
"84","BAC02",2021-11-21,NA,"Bright Angel Upper","Bright Angel",147,30,0,"2021",84.8910575354204,2021,0.47695046202511,0.0637582251935387,0.00352148131655176,62576.0483459667,0.00263210242613042,0.0655032242173384
"85","BAC03",2021-11-21,NA,"Bright Angel Upper","Bright Angel",136,27,0,"2021",96.1808465768359,2021,0.413958292342554,0.0624673766822526,0.00413201143135344,64101.0171993792,0.0019994584449333,0.0598677231164578
"86","BAC05",2021-11-21,NA,"Bright Angel Upper","Bright Angel",143,30,0,"2021",92.1141998219765,2021,0.446045953739246,0.0578943288130329,0.00353338309998428,76265.1314345162,0.00117164080636081,0.0489512169795968
"87","BAC07",2021-11-22,NA,"Bright Angel Upper","Bright Angel",126,19,0,"2021",84.850965301511,2021,0.542114071848723,0.0793482682170008,0.00539210994121872,65564.0958300707,0.00110418291643045,0.0439386628556474
"88","BAC08",2021-11-22,NA,"Bright Angel Upper","Bright Angel",112,13,0,"2021",82.2731272110208,2021,0.437587837920853,0.069135273271369,0.00377663947576929,44675.8352697249,0.00085215447800554,0.0303911777878601
"89","BAC09",2021-11-22,NA,"Bright Angel Upper","Bright Angel",88,6,0,"2021",77.5322773788744,2021,0.454073727112575,0.0604593742968795,0.00359804378123075,46917.4036724549,0.00432119877817995,0.0372477044797667
"90","BAC10",2021-12-01,NA,"Bright Angel Upper","Bright Angel",121,13,0,"2021",65.4483430710619,2021,0.482356586711935,0.0716635527735189,0.00555876586332229,66703.3752495059,0.00334343277809582,0.0512281705256575
